Fecha;Último
2011-01-01;1871.8
2011-02-01;1906
2011-03-01;1870.5
2011-04-01;1767.7
2011-05-01;1802
2011-06-01;1767.5
2011-07-01;1776.7
2011-08-01;1777
2011-09-01;1929.99
2011-10-01;1865
2011-11-01;1951.15
2011-12-01;1936
2012-01-01;1809.5
2012-02-01;1766.2
2012-03-01;1786.9
2012-04-01;1762.1
2012-05-01;1827.4
2012-06-01;1781.73
2012-07-01;1791.1
2012-08-01;1823.62
2012-09-01;1799.4
2012-10-01;1831.53
2012-11-01;1814.6
2012-12-01;1766
2013-01-01;1775.31
2013-02-01;1811.9
2013-03-01;1819
2013-04-01;1824.49
2013-05-01;1901.7
2013-06-01;1920.35
2013-07-01;1895
2013-08-01;1932.33
2013-09-01;1906
2013-10-01;1892
2013-11-01;1931.5
2013-12-01;1929
2014-01-01;2015.04
2014-02-01;2042.5
2014-03-01;1971.37
2014-04-01;1935
2014-05-01;1896
2014-06-01;1878.75
2014-07-01;1876.16
2014-08-01;1920.25
2014-09-01;2024.9
2014-10-01;2057
2014-11-01;2216.5
2014-12-01;2388
2015-01-01;2439
2015-02-01;2499.5
2015-03-01;2599
2015-04-01;2381
2015-05-01;2530
2015-06-01;2604.73
2015-07-01;2879
2015-08-01;3054.2
2015-09-01;3086.81
2015-10-01;2895.86
2015-11-01;3143.6
2015-12-01;3169.5
2016-01-01;3278.92
2016-02-01;3290.23
2016-03-01;2999.51
2016-04-01;2846.05
2016-05-01;3089.7
2016-06-01;2919.15
2016-07-01;3066.93
2016-08-01;2971.1
2016-09-01;2882.35
2016-10-01;3003
2016-11-01;3074
2016-12-01;3001.5
2017-01-01;2918.5
2017-02-01;2923.7
2017-03-01;2873.11
2017-04-01;2938.31
2017-05-01;2916
2017-06-01;3041.58
2017-07-01;2984
2017-08-01;2947.1
2017-09-01;2932.65
2017-10-01;3041
2017-11-01;3011.99
2017-12-01;2982
2018-01-01;2829.4
2018-02-01;2865.5
2018-03-01;2790
2018-04-01;2804
2018-05-01;2889.7
2018-06-01;2929.25
2018-07-01;2888.1
2018-08-01;3046.25
2018-09-01;2959.8
2018-10-01;3215.13
2018-11-01;3232.5
2018-12-01;3245
2019-01-01;3103.25
2019-02-01;3080.25
2019-03-01;3186.03
2019-04-01;3231.25
2019-05-01;3375
2019-06-01;3211
2019-07-01;3278.43
2019-08-01;3439.65
2019-09-01;3476.75
2019-10-01;3377
2019-11-01;3515.5
2019-12-01;3285.23
2020-01-01;3417
2020-02-01;3523
2020-03-01;4059
2020-04-01;3952.58
2020-05-01;3726
2020-06-01;3748.32
2020-07-01;3731.33
2020-08-01;3739.71
2020-09-01;3825.25
2020-10-01;3868.85
2020-11-01;3594.25
2020-12-01;3414.5
2021-01-01;3567.63
2021-02-01;3644.5
2021-03-01;3658.95
2021-04-01;3751.43
2021-05-01;3705.75
2021-06-01;3747
2021-07-01;3874
2021-08-01;3766.68
2021-09-01;3805.33
2021-10-01;3757.53
2021-11-01;3992.2
2021-12-01;4065.41
