"","x"
"1",7.52999999999884
"2",7.69999999999709
"3",7.47000000000116
"4",7.2699999999968
"5",7.37000000000262
"6",7.12999999999738
"7",7.40000000000146
"8",8.33000000000175
"9",8.83000000000175
"10",10.429999999993
"11",12.1999999999971
"12",12.7700000000041
"13",12.429999999993
"14",12.2299999999959
"15",11.6999999999971
"16",11.1999999999971
"17",11.2700000000041
"18",11.4700000000012
"19",11.3000000000029
"20",11.1699999999983
"21",11
"22",10.6300000000047
"23",10.2700000000041
"24",10.1999999999971
"25",9.66999999999825
"26",9.60000000000582
"27",9.60000000000582
"28",9.5
"29",9.5
"30",9.02999999999884
"31",8.69999999999709
"32",8.13000000000466
"33",7.87000000000262
"34",7.66999999999825
"35",7.80000000000291
"36",7.7300000000032
"37",7.56999999999971
"38",7.56999999999971
"39",7.33000000000175
"40",7.56999999999971
"41",7.62999999999738
"42",7.59999999999854
"43",8.16999999999825
"44",9.19999999999709
"45",10.1699999999983
"46",10.3300000000017
"47",10.3999999999942
"48",10.3699999999953
"49",10.6000000000058
"50",11
"51",11.3999999999942
"52",11.7299999999959
"53",11.070000000007
"54",11.6699999999983
"55",11.4700000000012
"56",11.3000000000029
"57",10.9700000000012
"58",10.6300000000047
"59",10.1000000000058
"60",9.66999999999825
"61",9.52999999999884
"62",9.47000000000116
"63",9.5
"64",9.27000000000407
"65",9.5
"66",9.42999999999302
"67",9.69999999999709
"68",9.89999999999418
"69",9.42999999999302
"70",9.30000000000291
"71",8.86999999999534
"72",8.77000000000407
"73",8.60000000000582
"74",8.33000000000175
"75",8.16999999999825
"76",8.02999999999884
"77",7.90000000000146
"78",7.87000000000262
"79",7.52999999999884
"80",6.93000000000029
"81",6.80000000000291
"82",6.69999999999709
"83",6.93000000000029
"84",6.87000000000262
